Timestamp,How would you describe your gender?,Which of the following would you describe yourself as?,Where do you live?,What is your age?,Do you believe that a secret cabal of lizard-people rule the world?,"A man has the confidence that if something is broken, it can be fixed.",A man cultivates as many interests as is possible.,"A man knows everything about something, and something about everything.",A man appreciates beauty in all of its forms.,A man uses his wealth and social standing for the benefit of others.,"A man does what he says he will do, and does not make promises he cannot keep.","A man may take a beating, of whatever kind, but he gets back up afterwards.","A man shows courtesy by holding doors open, pulling out chairs, and allowing others to choose before him.",A man is willing to endure suffering gladly in order to accomplish his goals.,A man protects those who are less strong than him.,A man arrives to occasions on time.,A man always looks to improve himself.,"A man is willing to challenge the status quo, if he has a better alternative.","A man shows sportsmanship, and does not harbour grudges against those that best him.",A man speaks his mind.,A man settles disputes by applying his principles equally to any situation.,A man is financially independent.,A man doesn't let the little frustrations of life get to him.,A man is unashamed of his sexual desires.,A man is willing and able to please his sexual partners.,A man does not make demands of his friends.,A man seeks advice when he wants to find a solution.,A man does not rely on the kindness of others.,A man is quick to respond in a time of crisis.,A man does not let fear or intimidation change his intent.,A man powers through a problem when grace or finesse fails.,"A man cultivates practical skills, and is ready to use them.",A man puts the lives of others over himself.,A man maintains his physical strength and fitness.,A man would rather try and fail than miss their chance at success.,"A man has a plan to get, or do, what it is they want.",A man does not perceive something as a threat to him unless it is a real danger.,"A man has a cause he believes in and takes risks for, and he would gladly suffer because of it.",A man does not lie.,A man cultivates a good sense of humour.,A man channels his anger and frustrations to productive ends.,A man does not need to prove himself to others.,A man prioritises clarity and directness over politeness and people-pleasing.,"A man values competition, and embraces it as a chance to better himself.","A man is open, clear, and consistent in his values.",A man does not trouble others with his feelings until he has made sense of them himself.,"A man is quick to form an opinion, and quick to defend it.","A man is always keen to explore, and seeks things unfamiliar to him.",A man is comfortable with who he is.,"A man makes the first move, sexually and romantically.",A man has a penis.,A man keeps his feelings to himself.,"A man has the confidence to speak authoritatively, unless he is proven wrong.",A man puts his bonds with other men first.,"A man accepts survival of the fittest, and does not let his neighbour's failures taint his successes.",A man's worth is measured by his accomplishments.,"A man does man's work, and lets women do women's work.",A man is able to provide financially for himself and others.,A man dresses practically.,A man takes the lead in bed.,A man eats whatever food he wants.,A man puts the needs and feelings of others before himself.,A man does not let his feelings cloud his judgement.,"A man is secure in his convictions, and is not easily swayed by the words of others.",A man is ready to use physical force or violence where it is necessary.,A man cherishes and values the qualities of women.,A man will defend his integrity if it is questioned.,A man helps other men to be good men.,A man does not speak ill of others.,A man is faithful to his roots.,A man lives in the present.,Feedback
11/19/2016 9:15:49,Man,"Socialist, Liberal, Feminist",Europe,41 - 65,No,Neutral,Neutral,Neutral,Neutral,Desirable,Desirable,Neutral,Desirable,Neutral,Desirable,Desirable,Undesirable,Desirable,Desirable,Neutral,Neutral,Neutral,Neutral,Neutral,Desirable,Neutral,Desirable,Undesirable,Desirable,Desirable,Neutral,Neutral,Desirable,Neutral,Undesirable,Undesirable,Desirable,Neutral,Desirable,Neutral,Neutral,Neutral,Undesirable,Undesirable,Desirable,Neutral,Neutral,Neutral,Neutral,Neutral,Undesirable,Neutral,Undesirable,Undesirable,Neutral,Undesirable,Undesirable,Neutral,Neutral,Neutral,Neutral,Desirable,Undesirable,Undesirable,Neutral,Desirable,Neutral,Neutral,Neutral,Undesirable,Undesirable,
11/19/2016 9:19:33,Woman,Feminist,Europe,26 - 40,No,Desirable,Desirable,Neutral,Essential,Desirable,Desirable,Neutral,Desirable,Neutral,Neutral,Desirable,Desirable,Desirable,Desirable,Neutral,Neutral,Neutral,Neutral,Essential,Desirable,Neutral,Desirable,Neutral,Neutral,Desirable,Neutral,Desirable,Neutral,Desirable,Desirable,Neutral,Neutral,Neutral,Desirable,Desirable,Desirable,Desirable,Neutral,Desirable,Desirable,Undesirable,Neutral,Desirable,Essential,Neutral,Neutral,Undesirable,Neutral,Undesirable,Neutral,Undesirable,Undesirable,Neutral,Neutral,Neutral,Desirable,Neutral,Neutral,Neutral,Neutral,Essential,Desirable,Essential,Desirable,Neutral,Neutral,
11/19/2016 9:25:32,Woman,"Socialist, Liberal, Feminist",Europe,26 - 40,No,Desirable,Desirable,Neutral,Desirable,Essential,Desirable,Neutral,Neutral,Neutral,Neutral,Desirable,Essential,Desirable,Desirable,Neutral,Desirable,Neutral,Neutral,Desirable,Neutral,Neutral,Essential,Neutral,Desirable,Desirable,Neutral,Neutral,Desirable,Neutral,Desirable,Desirable,Desirable,Neutral,Desirable,Desirable,Desirable,Desirable,Undesirable,Neutral,Essential,Neutral,Neutral,Desirable,Desirable,Neutral,Neutral,Undesirable,Neutral,Neutral,Undesirable,Undesirable,Undesirable,Neutral,Neutral,Neutral,Neutral,Desirable,Neutral,Neutral,Neutral,Essential,Desirable,Essential,Neutral,Neutral,Neutral,
11/19/2016 9:27:00,Man,"Socialist, Liberal, Feminist",Europe,26 - 40,No,Desirable,Neutral,Desirable,Desirable,Essential,Essential,Desirable,Neutral,Neutral,Essential,Neutral,Desirable,Desirable,Desirable,Neutral,Desirable,Neutral,Neutral,Desirable,Neutral,Neutral,Desirable,Undesirable,Neutral,Desirable,Undesirable,Neutral,Neutral,Neutral,Desirable,Neutral,Undesirable,Neutral,Essential,Neutral,Neutral,Desirable,Desirable,Neutral,Essential,Undesirable,Undesirable,Desirable,Essential,Undesirable,Neutral,Undesirable,Neutral,Undesirable,Undesirable,Undesirable,Undesirable,Neutral,Neutral,Neutral,Desirable,Desirable,Undesirable,Undesirable,Undesirable,Essential,Desirable,Essential,Undesirable,Desirable,Desirable,
11/19/2016 9:31:15,Other,"Socialist, Liberal, Feminist",Europe,18 - 25,No,Desirable,Desirable,Neutral,Desirable,Desirable,Desirable,Neutral,Undesirable,Desirable,Neutral,Desirable,Desirable,Desirable,Desirable,Desirable,Neutral,Undesirable,Undesirable,Neutral,Neutral,Undesirable,Desirable,Undesirable,Desirable,Desirable,Desirable,Neutral,Desirable,Neutral,Desirable,Neutral,Desirable,Desirable,Desirable,Desirable,Desirable,Desirable,Neutral,Desirable,Desirable,Undesirable,Neutral,Desirable,Desirable,Undesirable,Undesirable,Undesirable,Desirable,Neutral,Undesirable,Neutral,Undesirable,Neutral,Undesirable,Undesirable,Undesirable,Desirable,Neutral,Neutral,Undesirable,Desirable,Desirable,Essential,Desirable,Neutral,Undesirable,
11/19/2016 9:34:21,Woman,Feminist,Europe,26 - 40,No,Undesirable,Essential,Undesirable,Essential,Essential,Essential,Desirable,Neutral,Neutral,Desirable,Desirable,Essential,Desirable,Desirable,Desirable,Neutral,Desirable,Neutral,Essential,Desirable,Neutral,Essential,Undesirable,Desirable,Neutral,Neutral,Desirable,Neutral,Neutral,Desirable,Neutral,Desirable,Neutral,Essential,Desirable,Essential,Desirable,Neutral,Neutral,Essential,Undesirable,Neutral,Desirable,Essential,Undesirable,Undesirable,Undesirable,Neutral,Undesirable,Neutral,Undesirable,Undesirable,Neutral,Undesirable,Neutral,Desirable,Neutral,Undesirable,Neutral,Neutral,Desirable,Neutral,Essential,Desirable,Desirable,Desirable,
11/19/2016 9:35:34,Woman,Feminist,Europe,26 - 40,No,Desirable,Desirable,Desirable,Neutral,Neutral,Desirable,Neutral,Neutral,Neutral,Desirable,Neutral,Neutral,Desirable,Desirable,Desirable,Neutral,Desirable,Desirable,Essential,Desirable,Neutral,Essential,Neutral,Desirable,Essential,Neutral,Neutral,Neutral,Desirable,Desirable,Desirable,Neutral,Neutral,Neutral,Desirable,Desirable,Neutral,Essential,Neutral,Desirable,Undesirable,Undesirable,Desirable,Essential,Neutral,Neutral,Undesirable,Desirable,Neutral,Neutral,Neutral,Undesirable,Neutral,Neutral,Neutral,Undesirable,Neutral,Neutral,Neutral,Undesirable,Neutral,Desirable,Essential,Neutral,Neutral,Essential,
11/19/2016 9:38:24,Woman,"Socialist, Liberal, Feminist",Europe,26 - 40,No,Desirable,Desirable,Desirable,Desirable,Desirable,Desirable,Desirable,Desirable,Desirable,Desirable,Desirable,Desirable,Desirable,Desirable,Desirable,Desirable,Desirable,Neutral,Neutral,Neutral,Neutral,Desirable,Neutral,Desirable,Desirable,Desirable,Desirable,Desirable,Neutral,Desirable,Desirable,Desirable,Desirable,Desirable,Desirable,Desirable,Desirable,Desirable,Neutral,Desirable,Undesirable,Neutral,Desirable,Desirable,Neutral,Neutral,Undesirable,Desirable,Undesirable,Undesirable,Desirable,Undesirable,Desirable,Neutral,Neutral,Desirable,Desirable,Neutral,Desirable,Neutral,Desirable,Neutral,Desirable,Neutral,Neutral,Desirable,I would answer the same to all of these questions that still made sense if it was 'a person' rather than 'a man'.
11/19/2016 9:39:21,Other,"Socialist, Liberal, Feminist, Egalitarian",Europe,26 - 40,No,Desirable,Desirable,Undesirable,Desirable,Essential,Essential,Desirable,Desirable,Desirable,Essential,Desirable,Essential,Essential,Essential,Desirable,Desirable,Desirable,Desirable,Essential,Desirable,Desirable,Essential,Undesirable,Desirable,Essential,Neutral,Desirable,Essential,Desirable,Desirable,Neutral,Desirable,Desirable,Essential,Desirable,Desirable,Essential,Undesirable,Desirable,Essential,Undesirable,Undesirable,Essential,Desirable,Neutral,Undesirable,Undesirable,Neutral,Undesirable,Desirable,Essential,Undesirable,Desirable,Neutral,Neutral,Undesirable,Essential,Neutral,Undesirable,Neutral,Essential,Neutral,Essential,Desirable,Essential,Essential,
11/19/2016 9:39:49,Man,"Socialist, Liberal, Libertarian, Anarchist, Feminist",Europe,26 - 40,No,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Desirable,Undesirable,Desirable,Desirable,Neutral,Desirable,Desirable,Desirable,Neutral,Neutral,Neutral,Neutral,Desirable,Desirable,Neutral,Neutral,Neutral,Desirable,Desirable,Neutral,Desirable,Neutral,Neutral,Desirable,Neutral,Neutral,Neutral,Neutral,Neutral,Desirable,Neutral,Desirable,Desirable,Neutral,Essential,Neutral,Neutral,Desirable,Neutral,Neutral,Desirable,Neutral,Neutral,Neutral,Neutral,Undesirable,Desirable,Neutral,Neutral,Neutral,Neutral,Desirable,Undesirable,Neutral,Desirable,Neutral,Neutral,Neutral,Neutral,Neutral,
