"","from","to","strength"
"1","does_not_trouble_others_with","keeps_his_feelings_to_himself",-50.2307087832991
"2","is_financially_independent","is_able_to_provide_financially",-30.4011677564711
"3","puts_the_lives_of_others_over","puts_the_needs_and_feelings_of",-31.9592519560371
"4","does_not_rely_on_the_kindness","does_not_let_his_feelings_cloud",-6.74457453443341
"5","has_a_penis","feminist",-6.79023568483893
"6","keeps_his_feelings_to_himself","does_not_rely_on_the_kindness",-5.26338412910377
"7","puts_his_bonds_with_other_men","does_man_s_work_and_lets_women",-18.7128210825744
"8","may_take_a_beating_of_whatever","maintains_his_physical_strength",-15.9630822589049
"9","shows_sportsmanship_and_does","helps_other_men_to_be_good_men",-24.5849416632115
"10","maintains_his_physical_strength","cultivates_practical_skills_and",-6.44748414278635
"11","maintains_his_physical_strength","is_quick_to_respond_in_a_time",-11.7869595051607
"12","speaks_his_mind","prioritises_clarity_and",-11.7411685789427
"13","maintains_his_physical_strength","is_willing_to_endure_suffering",-3.07357565375531
"14","has_a_penis","dresses_practically",-14.3864260432975
"15","speaks_his_mind","will_defend_his_integrity_if_it",-13.4685962487086
"16","maintains_his_physical_strength","is_financially_independent",-4.04294495407123
"17","maintains_his_physical_strength","has_a_plan_to_get_or_do_what_it",-4.41887005654004
"18","does_man_s_work_and_lets_women","has_a_penis",-12.4751457461512
"19","does_what_he_says_he_will_do","is_open_clear_and_consistent_in",-4.13017261146661
"20","is_ready_to_use_physical_force","powers_through_a_problem_when",-10.3481905768599
"21","does_not_let_his_feelings_cloud","doesn_t_let_the_little",-9.48622211180526
"22","does_what_he_says_he_will_do","does_not_lie",-8.26217656464883
"23","is_open_clear_and_consistent_in","settles_disputes_by_applying",-9.97132909390064
"24","is_willing_to_endure_suffering","does_not_let_fear_or",-5.33704933724385
"25","does_man_s_work_and_lets_women","is_quick_to_form_an_opinion_and",-7.41257138089145
"26","has_a_penis","does_not_trouble_others_with",-5.06946321564374
"27","is_willing_to_endure_suffering","has_a_cause_he_believes_in_and",-10.5665658336751
"28","helps_other_men_to_be_good_men","uses_his_wealth_and_social",-5.55872828811636
"29","is_quick_to_respond_in_a_time","has_the_confidence_that_if",-12.6465553704393
